peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
8.86,32704865.4865032,28763249.0415883,31342831.5689073,31852069.4825949,27962633.0623538,33413672.1869567,27916431.9440845,32670039.8266239,29526854.2695028,29070337.6959713,34820287.4722839,28662563.6455172,28327178.3408929,25835973.6528225,30044883.6529571,31604712.9008152,39591142.8842409,35435570.1847372,27852019.9443837,32501419.4226591,27879939.7590492,26994664.480752,31624800.0852763,29961561.829957,27636915.2786735,30323203.4975676,27256406.0714046,25327168.995659,24528602.1154464,24818939.5752622,28345887.913177,25971595.5063334,25814932.3662692,26462073.2759647,31254758.2467087,29637354.4759851
9.01,2191926.34933335,2149966.14045393,2960261.94074469,2099600.1866667,2162498.87035461,3066356.01599998,2015242.85439717,2486898.60266669,2792320.17866666,2255945.72533333,2960564.95692197,3023642.57333338,2137687.90133332,2187039.92436883,3009051.21066665,2157801.25642556,3255967.93866665,3253316.0046809,2088915.25333334,2946447.72808512,2965133.17333339,1973402.22241136,2623028.08000003,2920156.97243978,2005661.21530498,2852559.39733336,2883283.00753196,2086535.50933336,2317060.40429788,2965552.52800006,2181355.77707807,2278028.60971634,2884911.1066667,2058880.72625531,2912428.56533332,3024304.01713481
9.05,1575098.74887939,2850710.44799989,4866945.87999979,2145274.36595736,3725211.01285091,5372875.06198557,2155690.96799992,3290902.91382966,4534256.54594306,1308819.96303542,2557834.05296452,3250573.81403533,1272976.4893333,1738989.43999995,2727359.32429778,1747408.24344676,3440660.14365949,4034178.59399985,415625.565524823,571061.802666671,558681.646000003,411499.778553192,514419.465957452,612797.088000008,455010.27733334,604159.485971633,659348.53066667,1665302.25148931,4932321.06372319,7659257.45196421,1428502.77599996,2308195.21599992,3148080.75896441,1746448.67666668,3253055.66893604,4106373.7496594
9.19,2238024.74988651,2553291.12512764,2925982.95329076,2018014.42238296,2557806.7970638,2795629.43102126,2013365.72792905,2129958.95121986,2783622.02371627,2093276.68194323,2692323.67002837,2711192.45347516,1964817.34745387,1950770.65019858,2640408.0420638,1987545.09939005,2942573.74093612,2868423.3897305,1933510.76337586,2660289.38873755,2588409.7848014,2010475.83836876,2088355.27804251,2855314.1160851,2271928.08478723,3106086.77218441,3240471.2255319,1920666.90999289,2280521.04911346,2777781.04410638,2033933.74556029,2161010.57321987,2551148.94058157,1917851.73947517,2683688.78607089,2815969.8017021
9.25,747896.106666675,853954.783517754,972267.536340423,683943.358893615,893809.543914891,933443.224,735555.752659572,788459.818666674,979521.55733333,728980.967631201,900175.419014185,959131.770666673,720838.479609925,707635.062553212,953277.667070921,780511.431035457,1114501.49573049,1114260.06680143,637785.592056749,845916.980574465,845873.290751775,661046.457687944,693546.441560281,947368.1941844,804915.994333329,1065674.46933334,1115983.02587236,661620.917333338,773838.992000006,949253.364893622,724020.694283706,910289.555184421,889376.478113482,690662.482638303,945118.740248227,994493.217588664
9.36,2603135.15632623,3493726.61412765,3855186.47710637,2495814.58693622,3335650.03432628,3573677.25759573,2671757.1954184,2920023.38595743,3479203.34493622,2575628.76800002,3607822.93866667,3673845.44109226,2543995.68686523,2727714.98692196,3532769.01481562,2010054.3300142,2693292.70527658,2652673.78933335,2603780.80808512,3793685.67782978,3863032.83593617,2605400.0036525,2913304.03852485,3777054.26378723,2571398.25866664,3494030.13717731,3504848.361617,2290139.30314894,3048631.81102124,3629752.90354608,2673376.25577304,3617181.55401417,3551257.75026951,2600742.03774468,3554830.45582976,3764863.08977307
9.4,27458903.1946663,30637080.6053335,35075599.4960009,25095975.4293333,31079415.2323413,32761278.560914,24231324.2025822,25347042.3360002,31048867.9809371,27031629.5711782,32441317.7491839,31971658.9794332,21361962.2085953,21539345.8346667,27362751.4120418,19239243.0328516,26862879.8146377,26570172.0586669,19064941.0364323,24885851.1763836,23031576.4266672,20759012.2660635,21902677.4973413,27808149.6000004,20510638.9600002,25341065.084014,25917184.7439575,22175434.2868089,27138893.7066661,31920940.1520004,24596126.6139857,30689524.5848084,28944995.4977729,25577142.1131913,34127504.7578717,35303043.3447873
9.46,57505786.7898154,68377620.7068206,76032573.3702189,55414410.0236787,67406189.770665,73529017.4179107,54019855.6870063,58238115.280956,69303976.30123,66988603.0392056,83475245.4453303,85168666.1193159,59678654.4995308,60370114.8371894,75083848.168719,72733058.0960016,99338623.8765954,101511451.980199,80858772.4399488,105283570.933645,106992954.013191,89653334.9173339,99293168.9604055,121392951.686043,89895134.1585253,119341375.586014,120483798.555864,61237852.9110358,77506812.7158581,89489339.0847802,68283226.0370695,84671385.0879965,82923683.2604947,69188016.221331,88702996.2005081,93042174.7626666
9.52,185800.512,202228.55319149,226139.5,156994.464,200667.84,224785.008,154072.872340425,170522.359999999,220785.026666667,191221.08,230787.026666667,235211.517333333,168874.96,175899.829787232,245982.88,175220.496,259423.36,256295.253333333,126446.658666667,178910.808510639,175671.527999999,122722.941333333,131361.432,191370.037234042,128886.55319149,181424.880000001,187737.54787234,209363.143999999,206252.568000001,243353.826666667,179984.13031915,243567.154255318,221357.162666667,172511.112,238427.2,243761.746666666
9.54,168813.712,197933.265957446,223075.808,146949.400000001,182508.178666668,208921.624,148453.074468084,162989.056,216755.864,167664.384000002,210169.096,219677.296,155841.146666667,175871.199468086,250213.082666667,163573.4,243697.674666667,240723.968000001,126210.877333333,172376.920212766,177726.056,121932.384,140403.800000001,203586.898936171,119426.218085107,167541.386666668,170422.375,160910.776000002,186237.880000001,222117.784,159350.316489363,236457,220061.584,155515.901333334,213010.778666667,219228.048000001
