peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL,cosineSimilarityOfBestMatch,bestMatch,bestMatchFiehnLib,bestMatchCasNo
62,-0.0276166594283829,0.0969956103659999,0.837801018049826,0.472170722702224,-0.292100303364498,-0.167488033570111,0.236866984507732,0.361479254302111,0.893666172209042,"[159793] 2-keto-L-gulonic acid 2 [17.998]","[159793] 2-keto-L-gulonic acid 2 [17.998]",342385528
63,-0.108039696790953,0.657782695533481,0.42324401577915,1.12774044462261e-06,-0.372523340727067,0.39329905159737,0.156443947145162,0.922266339469591,0.779909543984672,"[11321] acetylisatin 1 [16.184]","[11321] acetylisatin 1 [16.184]",574174
65,-0.0357714237329134,0.0816165743809038,0.790891374262209,0.545202096425496,-0.300255067669028,-0.182867069555207,0.228712220203201,0.346100218317015,0.760339827560374,"[5280451] maleamic acid 1 [12.152]","[5280451] maleamic acid 1 [12.152]",557244
66,-0.0958245870730705,0.204266322586518,0.477535254878169,0.130055905406556,-0.360308231009185,-0.0602173213495934,0.168659056863044,0.468749966522629,0.982278555953307,"[239] Beta- alanine  1 [12.044]","[239] Beta- alanine  1 [12.044]",107959
68,-0.300912081513484,-0.178132786187469,0.0257642859064926,0.186752561222817,-0.565395725449599,-0.44261643012358,-0.0364284375773696,0.0863508577486418,0.806369693706617,"[5351896] trans-3-hexenedioic acid [13.08]","[5351896] trans-3-hexenedioic acid [13.08]",4436742
69,-0.0964712561492294,0.134126370414459,0.474568706934119,0.32015440663178,-0.360954900085344,-0.130357273521652,0.168012387786885,0.398610014350571,0.648246583085011,"[14490] 6-hydroxyhexanoic acid [12.042]","[14490] 6-hydroxyhexanoic acid [12.042]",1191259
71,0.00107905854335888,0.0646785449304003,0.993618198162975,0.631639730862728,-0.263404585392756,-0.199805099005711,0.265562702479474,0.329162188866511,0.893891658135005,"[1133] thioglycolic acid [9.725]","[1133] thioglycolic acid [9.725]",68111
76,-0.645692086327278,-0.477768658643443,1.76403968966156e-06,0.000402519272901818,-0.910175730263393,-0.742252302579554,-0.381208442391163,-0.213285014707331,0.955212918455426,"[92824] D-malic acid [12.794]","[92824] D-malic acid [12.794]",617481
77,-0.0306529220297573,0.127400217690197,0.820258096655701,0.345020043087552,-0.295136565965872,-0.137083426245914,0.233830721906357,0.391883861626309,0.906535966095885,"[94220] lactamide 2 [8.394]","[94220] lactamide 2 [8.394]",2043438
80,-0.294762976831049,-0.297577452444331,0.0289466995403016,0.0274503514813267,-0.559246620767163,-0.562061096380442,-0.030279332894934,-0.0330938085082197,0.944833289309916,"[239] Beta- alanine  2 [14.555]","[239] Beta- alanine  2 [14.555]",107959
81,-0.141005697407743,-0.177703917628991,0.295966311215902,0.187815442009885,-0.405489341343858,-0.442187561565102,0.123477946528371,0.0867797263071205,0.988073546444118,"[7405] L-pyroglutamic acid [13.218]","[7405] L-pyroglutamic acid [13.218]",98793
82,-0.23406151455146,-0.165532810472669,0.0828084486579696,0.219867307278071,-0.498545158487575,-0.43001645440878,0.0304221293846541,0.0989508334634423,0.784334396020772,"[5810] trans-4-hydroxy-L-proline 2 [13.267]","[5810] trans-4-hydroxy-L-proline 2 [13.267]",51354
84,-0.128282861911313,-0.0996743390809502,0.341688561096663,0.460025130443162,-0.392766505847428,-0.364157983017061,0.136200782024801,0.164809304855161,0.937459777293811,"[444305] tartaric acid [14.588]","[444305] tartaric acid [14.588]",133379
85,0.0726545266387282,-0.106417059429973,0.590205142084673,0.430240767217145,-0.191829117297386,-0.370900703366084,0.337138170574843,0.158066584506138,0.994894885167701,"[594] L-cysteine 2 [13.582]","[594] L-cysteine 2 [13.582]",52904
86,-0.00719940062503786,0.135620088071665,0.957440834745365,0.314795497028921,-0.271683044561153,-0.128863555864446,0.257284243311077,0.400103732007776,0.839998224082599,"[11848] 2,3-dimethylsuccinic acid [11.134]","[11848] 2,3-dimethylsuccinic acid [11.134]",13545045
87,-0.0739509811824663,0.122177763757176,0.583590197665371,0.365153808692475,-0.338434625118581,-0.142305880178935,0.190532662753648,0.386661407693287,0.872074414239287,"[11848] 2,3-dimethylsuccinic acid [11.134]","[11848] 2,3-dimethylsuccinic acid [11.134]",13545045
88,-0.898067343303713,-0.0336144765504932,3.20261869281656e-11,0.803232992945776,-1.16255098723983,-0.298098120486604,-0.633583699367598,0.230869167385618,0.981046813278052,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
89,-0.0596786431786802,0.124072761739393,0.658228584630047,0.357764829459791,-0.324162287114795,-0.140410882196718,0.204805000757434,0.388556405675504,0.864411463833231,"[11848] 2,3-dimethylsuccinic acid [11.134]","[11848] 2,3-dimethylsuccinic acid [11.134]",13545045
91,-0.501777151619142,-0.297116334468675,0.00020247279629703,0.0276908393132167,-0.766260795555256,-0.561599978404786,-0.237293507683027,-0.0326326905325638,0.85720531423249,"[7405] L-pyroglutamic acid [13.218]","[7405] L-pyroglutamic acid [13.218]",98793
92,-0.346228137920081,-0.140134146844682,0.010309987858447,0.29896117439905,-0.610711781856196,-0.404617790780793,-0.0817444939839668,0.124349497091429,0.892875389609454,"[11848] 2,3-dimethylsuccinic acid [11.134]","[11848] 2,3-dimethylsuccinic acid [11.134]",13545045
93,0.0731677979957116,-0.0602920525513114,0.587582130073193,0.654942295877195,-0.191315845940403,-0.324775696487422,0.337651441931826,0.2041915913848,0.970748051759364,"[6262] L-ornithine 1 [14.349]","[6262] L-ornithine 1 [14.349]",70268
94,-0.161094433677365,0.164350267862907,0.232481272769848,0.223179077139595,-0.425578077613479,-0.100133376073204,0.10338921025875,0.428833911799018,0.987402645861422,"[33032] L-glutamic acid 2 [14.398]","[33032] L-glutamic acid 2 [14.398]",56860
95,0.0578700228738493,-0.084691876280541,0.667956435774505,0.530161798943883,-0.206613621062265,-0.349175520216652,0.322353666809964,0.17979176765557,0.861510244219438,"[6057] L-tyrosine 2 [17.856]","[6057] L-tyrosine 2 [17.856]",60184
96,0.0538965088994822,0.0817882833110122,0.689523461659942,0.544356771245656,-0.210587135036633,-0.182695360625099,0.318380152835597,0.346271927247123,0.79436305709653,"[3679006] N-carbamyl-L-glutamic acid 3 [17.83]","[3679006] N-carbamyl-L-glutamic acid 3 [17.83]",1188381
100,-1.21124084113133,-1.26299157775104,4.2761789145051e-19,1.31832269001553e-20,-1.47572448506745,-1.52747522168716,-0.946757197195218,-0.998507933814933,0.910077109918431,"[835] dehydroascorbic acid  5 [17.878]","[835] dehydroascorbic acid  5 [17.878]",490835
102,-0.323525000741913,-0.0799934993781821,0.0165217737748313,0.553224570750279,-0.588008644678027,-0.344477143314293,-0.059041356805798,0.184490144557929,0.996139456447104,"[1123] taurine [14.94]","[1123] taurine [14.94]",107357
103,-0.169631090044135,-0.414712441034252,0.208663183489532,0.00212581415291308,-0.43411473398025,-0.679196084970363,0.0948525538919798,-0.150228797098141,0.974762329758802,"[439280] 5-hydroxy-L-tryptophan 1 [22.224]","[439280] 5-hydroxy-L-tryptophan 1 [22.224]",000000000
105,-0.0877603077042885,0.0909636363452491,0.51536813985309,0.500156044660818,-0.352243951640403,-0.173520007590862,0.176723336231826,0.35544728028136,0.901548307386193,"[5460005] 2-deoxy-D-ribose 2 [13.84]","[5460005] 2-deoxy-D-ribose 2 [13.84]",533675
106,-0.109266961615276,-0.184935950627164,0.417996634913728,0.170482027411703,-0.373750605551391,-0.449419594563275,0.155216682320839,0.0795476933089469,0.602841400472687,"[6057] L-tyrosine 2 [17.856]","[6057] L-tyrosine 2 [17.856]",60184
108,-0.495818099162682,-0.37159832218574,0.000240789033508936,0.00590447561909031,-0.760301743098796,-0.636081966121851,-0.231334455226567,-0.107114678249629,0.881712845749099,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
109,-0.454737337343316,-0.0924136029936661,0.000756818266952327,0.49334956030719,-0.719220981279431,-0.356897246929777,-0.190253693407202,0.172070040942445,0.886493462268694,"[12035] N-acetyl-L-cysteine 1 [15.242]","[12035] N-acetyl-L-cysteine 1 [15.242]",616911
110,-1.32610039522774,-1.41375682439919,1.57684600227431e-22,2.41989230939764e-25,-1.59058403916386,-1.6782404683353,-1.06161675129163,-1.14927318046308,0.911560700758353,"[] L-Ascorbic Acid-13C6 5 [18.004]","[] L-Ascorbic Acid-13C6 5 [18.004]",000000000
111,-0.0970460944692387,-0.228353706691285,0.471940201046094,0.0905821851288379,-0.361529738405353,-0.492837350627396,0.167437549466876,0.0361299372448254,0.892922241524312,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
112,0.349169660053597,-0.402337820615917,0.0096807212610093,0.00287766228269,0.0846860161174822,-0.666821464552028,0.613653303989712,-0.137854176679806,0.840461099053492,"[12364] adipamide 3 [16.515]","[12364] adipamide 3 [16.515]",628944
113,-0.117882052353584,0.00516778664489609,0.382253536786119,0.969443664392727,-0.382365696289699,-0.259315857291215,0.146601591582531,0.269651430581007,0.836176917668445,"[5351896] trans-3-hexenedioic acid [13.08]","[5351896] trans-3-hexenedioic acid [13.08]",4436742
114,0.0145205688525318,0.0600805212584119,0.914286677125775,0.656074805751118,-0.249963075083583,-0.204403122677699,0.279004212788646,0.324564165194523,0.868230721589774,"[111064] ribonic acid-gamma-lactone 1 [15.052]","[111064] ribonic acid-gamma-lactone 1 [15.052]",5336083
115,-0.373864491861309,-0.2987060775791,0.00560887677603724,0.0268693294203157,-0.638348135797424,-0.563189721515211,-0.109380847925194,-0.0342224336429886,0.800587561371054,"[111064] ribonic acid-gamma-lactone 1 [15.052]","[111064] ribonic acid-gamma-lactone 1 [15.052]",5336083
116,0.0957286018539026,-0.233248765408242,0.477976443556838,0.0838811682682475,-0.168755042082212,-0.497732409344353,0.360212245790017,0.0312348785278689,0.994294272702421,"[738] L-glutamine 3 [16.092]","[738] L-glutamine 3 [16.092]",56859
117,-0.121769402059141,-0.12963566597419,0.366758493463104,0.336622604719559,-0.386253045995256,-0.394119309910301,0.142714241876974,0.134847977961921,0.881331337198427,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
119,-0.36825621318117,-0.124448845033275,0.00636608540368781,0.35630967845808,-0.632739857117284,-0.388932488969386,-0.103772569245055,0.140034798902836,0.922699184223964,"[111064] ribonic acid-gamma-lactone 1 [15.052]","[111064] ribonic acid-gamma-lactone 1 [15.052]",5336083
122,0.1850003194329,0.106315402210537,0.170333325934626,0.430681334043466,-0.0794833245032149,-0.158168241725574,0.449483963369015,0.370799046146648,0.848292330108387,"[5460005] 2-deoxy-D-ribose 1 [13.816]","[5460005] 2-deoxy-D-ribose 1 [13.816]",533675
123,-0.349699927053823,0.0822399388821032,0.00957099963573686,0.542136381648802,-0.614183570989938,-0.182243705054008,-0.0852162831177082,0.346723582818214,0.993008994808208,"[311] citric acid [16.615]","[311] citric acid [16.615]",5949291
124,1.2064303992429,0.00974802295952578,5.86833484584002e-19,0.942397471506387,0.941946755306784,-0.254735620976585,1.47091404317901,0.274231666895637,0.933797033549088,"[71] gluconic acid 1 [17.693]","[71] gluconic acid 1 [17.693]",526954
125,0.889027291199129,0.0185478476732514,5.01381614095928e-11,0.890647317866821,0.624543647263014,-0.24593579626286,1.15351093513524,0.283031491609362,0.930660403640822,"[71] gluconic acid 1 [17.693]","[71] gluconic acid 1 [17.693]",526954
126,-0.0175702105771194,0.25582460481854,0.896377745466291,0.057982812838886,-0.282053854513234,-0.00865903911757151,0.246913433358995,0.520308248754651,0.833817571081937,"[3679006] N-carbamyl-L-glutamic acid 3 [17.83]","[3679006] N-carbamyl-L-glutamic acid 3 [17.83]",1188381
127,0.342270682096271,0.502039694886152,0.0112139587580752,0.000200924175403605,0.0777870381601559,0.237556050950041,0.606754326032386,0.766523338822263,0.917226629355083,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
128,0.262738161058459,0.304580209634459,0.0515304513524489,0.0240138044143965,-0.00174548287765576,0.0400965656983484,0.527221804994574,0.56906385357057,0.910896332254165,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
130,-0.851624229782166,1.61680905920276,3.06194316136824e-10,1.69953845965799e-32,-1.11610787371828,1.35232541526665,-0.587140585846051,1.88129270313887,0.996507950233237,"[2724552] tagatose 2 [17.212]","[2724552] tagatose 2 [17.212]",87810
132,-0.0700984850479861,1.13562307661181,0.60334708185941,5.4029077582896e-17,-0.334582128984101,0.871139432675701,0.194385158888129,1.40010672054792,0.98647939279553,"[5984] fructose 2 [17.288]","[5984] fructose 2 [17.288]",57487
134,0.144051844858386,0.0917565151432257,0.28565724667161,0.496427922267091,-0.120431799077729,-0.172727128792885,0.408535488794501,0.356240159079337,0.982951762310004,"[448388] D-allose 1 [17.278]","[448388] D-allose 1 [17.278]",579362
136,0.369257030706557,0.28509043778493,0.00622455687769713,0.0346365758295765,0.104773386770442,0.0206067938488189,0.633740674642671,0.549574081721041,0.977806340582901,"[448388] D-allose 1 [17.278]","[448388] D-allose 1 [17.278]",579362
137,0.244854508823664,0.0057540412925701,0.069590092313289,0.965979225161562,-0.0196291351124511,-0.258729602643541,0.509338152759778,0.270237685228681,0.987945405253739,"[6057] L-tyrosine 2 [17.856]","[6057] L-tyrosine 2 [17.856]",60184
142,-0.334934021597053,-0.302815624416648,0.0130776769373367,0.0248425751417646,-0.599417665533167,-0.567299268352759,-0.070450377660938,-0.0383319804805369,0.941549369125199,"[71] gluconic acid 1 [17.693]","[71] gluconic acid 1 [17.693]",526954
143,-0.364920978764732,0.181169420963985,0.0068588844755894,0.179353644582359,-0.629404622700847,-0.0833142229721261,-0.100437334828617,0.445653064900096,0.973143974018465,"[439451] galactinol 2 [26.479]","[439451] galactinol 2 [26.479]",3687647
145,-0.0156763256742153,-0.0530758079719909,0.907493903547905,0.694010316255119,-0.28015996961033,-0.317559451908102,0.248807318261899,0.21140783596412,0.927571463990473,"[439665] threose 1 [12.251]","[439665] threose 1 [12.251]",95432
147,-0.181488973628514,-0.176308569343554,0.178587899510694,0.191304485960014,-0.445972617564629,-0.440792213279665,0.0829946703076007,0.0881750745925575,0.939029138380232,"[71] gluconic acid 1 [17.693]","[71] gluconic acid 1 [17.693]",526954
148,-0.0266527478038409,-0.0505191194522433,0.843387661611218,0.708056292984983,-0.291136391739955,-0.315002763388354,0.237830896132274,0.213964524483868,0.99443707636016,"[985] palmitic acid [18.846]","[985] palmitic acid [18.846]",64519820
151,-0.215955648081016,-0.132057057030725,0.109490963264392,0.327676358938757,-0.480439292017131,-0.396540700966837,0.0485279958550989,0.132426586905386,0.90209423725638,"[439665] threose 1 [12.251]","[439665] threose 1 [12.251]",95432
152,0.0478975035493104,0.124315873310898,0.722562843961512,0.356823748936363,-0.216586140386804,-0.140167770625214,0.312381147485425,0.388799517247009,0.878040893737115,"[439665] threose 1 [12.251]","[439665] threose 1 [12.251]",95432
153,-0.3603019746931,-0.297171386176568,0.00759797914091724,0.0276620328571328,-0.624785618629214,-0.561655030112679,-0.0958183307569849,-0.0326877422404566,0.876890376505199,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
154,0.0158980088750701,0.101255411216282,0.906191754118411,0.45293930156877,-0.248585635061045,-0.163228232719829,0.280381652811185,0.365739055152394,0.864850757241655,"[24154] galactosamine 2 [17.386]","[24154] galactosamine 2 [17.386]",1772038
155,-1.42560902180349,-2.38835205527186,9.78427435721647e-26,2.25515700365255e-67,-1.69009266573961,-2.65283569920797,-1.16112537786738,-2.12386841133575,0.932339327700146,"[892] allo-inositol  [17.245]","[892] allo-inositol  [17.245]",87898
156,-0.151916740192769,-0.1344705750094,0.260173609735675,0.318914266763558,-0.416400384128883,-0.398954218945511,0.112566903743346,0.130013068926711,0.813684417430179,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
157,-0.0916476098238033,-0.0196450479238081,0.49693911612483,0.884222882901514,-0.356131253759918,-0.284128691859919,0.172836034112311,0.244838596012303,0.806128303540808,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
158,-0.105670090794744,-0.080276079361522,0.433484115748606,0.551823693212774,-0.370153734730859,-0.344759723297633,0.158813553141371,0.184207564574589,0.88648625532128,"[16218892] N-acetyl-D-glucosamine 2 [19.29]","[16218892] N-acetyl-D-glucosamine 2 [19.29]",7512176
159,-0.125804050958554,-0.0508605068991416,0.351097096041724,0.706174889119849,-0.390287694894668,-0.315344150835253,0.138679592977561,0.21362313703697,0.874392564331093,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
160,-0.0534710721285409,0.0458155077031055,0.691848016052273,0.734155251694772,-0.317954716064656,-0.218668136233006,0.211012571807574,0.310299151639217,0.859821504638638,"[73563] D-glucosaminic acid 1 [18.387]","[73563] D-glucosaminic acid 1 [18.387]",3646682
161,-0.134467449156698,0.0156294038113205,0.318925514770454,0.907769550841523,-0.398951093092813,-0.248854240124791,0.130016194779417,0.280113047747432,0.85564641909811,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
162,-0.145098074687688,-0.0802743600084557,0.282173194257704,0.551832211554266,-0.409581718623803,-0.344758003944567,0.119385569248427,0.184209283927655,0.887050016868794,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
163,-0.365368006473606,-0.23711708298091,0.00679090210442519,0.0788746209228305,-0.629851650409721,-0.501600726917021,-0.100884362537492,0.0273665609552015,0.884936969223218,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
164,-0.140734759348311,0.0405999078056026,0.296895161779011,0.763457430891731,-0.405218403284426,-0.223883736130509,0.123748884587803,0.305083551741714,0.891149873780647,"[51] alpha ketoglutaric acid [13.859]","[51] alpha ketoglutaric acid [13.859]",328507
165,0.0935157532417718,0.0719883264173933,0.488209194363252,0.593617700660215,-0.170967890694343,-0.192495317518718,0.357999397177886,0.336471970353504,0.794847889598698,"[92904] 3-indolelactic acid 2 [20.077]","[92904] 3-indolelactic acid 2 [20.077]",1821529
166,-0.608847106289008,-0.473836237502948,6.58064161766341e-06,0.000449200951214874,-0.873330750225123,-0.738319881439059,-0.344363462352894,-0.209352593566837,0.903869208827339,"[835] dehydroascorbic acid  5 [17.878]","[835] dehydroascorbic acid  5 [17.878]",490835
