peakID,B,L,pValB,pValL,lowerB,lowerL,upperB,upperL
11,0.0514291731300604,-0.132911933555995,0.703044930619154,0.324555084749576,-0.213054471527646,-0.397395578213706,0.315912817787767,0.131571711101716
11.22,-0.027616659426999,0.0969956103659758,0.83780101849422,0.472170723910886,-0.292100304084706,-0.167488034291735,0.236866985230708,0.361479255023687
11.28,-0.108039696789573,0.657782695533442,0.423244017050001,1.12774052015121e-06,-0.37252334144728,0.393299050875731,0.156443947868133,0.922266340191154
11.38,-0.0357714237315101,0.0816165743808983,0.790891374827483,0.545202097522189,-0.300255068389217,-0.182867070276813,0.228712220926197,0.34610021903861
11.46,-0.0958245870717045,0.204266322586469,0.477535256085825,0.130055906454084,-0.360308231729411,-0.0602173220712422,0.168659057586002,0.46874996724418
11.73,-0.30091208151209,-0.178132786187491,0.0257642863110043,0.186752562424727,-0.565395726169797,-0.442616430845202,-0.0364284368543832,0.0863508584702209
11.78,-0.0964712561478448,0.134126370414434,0.474568708145822,0.320154407952004,-0.360954900805552,-0.130357274243278,0.168012388509862,0.398610015072145
11.9,0.00107905854475086,0.0646785449303806,0.993618198172154,0.631639731793148,-0.263404586112956,-0.199805099727331,0.265562703202458,0.329162189588092
12.28,-0.645692086325922,-0.477768658643499,1.76403980376385e-06,0.000402519287594615,-0.910175730983629,-0.74225230330121,-0.381208441668216,-0.213285013985788
12.39,-0.0306529220283608,0.127400217690187,0.820258097145756,0.345020044403617,-0.295136566686068,-0.137083426967525,0.233830722629346,0.391883862347898
12.55,-0.29476297682965,-0.297577452444338,0.0289466999784695,0.027450351903156,-0.559246621487356,-0.56206109710205,-0.0302793321719429,-0.0330938077866271
12.68,-0.141005697406387,-0.177703917629041,0.295966312538043,0.187815443213865,-0.405489342064094,-0.442187562286753,0.12347794725132,0.0867797270286701
12.74,-0.234061514550133,-0.165532810472753,0.0828084494981925,0.219867308535873,-0.49854515920784,-0.430016455130464,0.0304221301075735,0.0989508341849586
13.04,-0.128282861909932,-0.0996743390809855,0.341688562418796,0.460025131667083,-0.392766506567639,-0.364157983738697,0.136200782747775,0.164809305576726
13.09,0.0726545266400937,-0.106417059430024,0.590205143091728,0.43024076847485,-0.191829118017613,-0.370900704087735,0.337138171297801,0.158066585227688
13.15,-0.00719940062368329,0.135620088071602,0.957440834869369,0.314795498349284,-0.27168304528139,-0.12886355658611,0.257284244034024,0.400103732729313
13.2,-0.0739509811810537,0.122177763757181,0.583590198699318,0.365153810000551,-0.338434625838761,-0.14230588090053,0.190532663476653,0.386661408414893
13.32,-0.898067343302356,-0.0336144765505532,3.20261908395067e-11,0.803232993471256,-1.16255098796006,-0.298098121208265,-0.63358369864465,0.230869168107158
13.45,-0.059678643177303,0.124072761739354,0.658228585510616,0.357764830771405,-0.32416228783501,-0.140410882918358,0.204805001480404,0.388556406397065
13.61,-0.501777151617806,-0.297116334468756,0.000202472804409199,0.027690839737539,-0.766260796275513,-0.561599979126467,-0.2372935069601,-0.0326326898110445
13.7,-0.346228137918693,-0.140134146844705,0.0103099880665451,0.298961175717183,-0.6107117825764,-0.404617791502417,-0.0817444932609861,0.124349497813006
13.77,0.0731677979970886,-0.0602920525513466,0.587582131085269,0.654942296757393,-0.191315846660618,-0.324775697209058,0.337651442654796,0.204191592106365
13.85,-0.161094433675983,0.164350267862867,0.232481274047888,0.223179078402212,-0.42557807833369,-0.100133376794844,0.103389210981724,0.428833912520579
13.92,0.0578700228752378,-0.0846918762805652,0.667956436618698,0.530161800065872,-0.206613621782469,-0.349175520938277,0.322353667532945,0.179791768377146
13.99,0.0538965089008726,0.0817882833109966,0.689523462455294,0.544356772343859,-0.210587135756834,-0.182695361346715,0.318380153558579,0.346271927968708
14.28,-1.21124084112994,-1.26299157775107,4.27617984641218e-19,1.31832300138446e-20,-1.47572448578765,-1.52747522240878,-0.946757196472231,-0.998507933093355
14.43,-0.32352500074055,-0.0799934993782374,0.0165217740699725,0.553224571832639,-0.588008645398257,-0.344477144035949,-0.0590413560828435,0.184490145279474
14.48,-0.169631090042729,-0.414712441034268,0.208663184734731,0.00212581421252797,-0.434114734700436,-0.679196085691979,0.0948525546149782,-0.150228796376557
14.66,-0.0877603077029097,0.0909636363452156,0.515368141005651,0.500156045830238,-0.352243952360617,-0.173520008312496,0.176723336954797,0.355447281002927
14.75,-0.109266961613909,-0.184935950627211,0.417996636189514,0.170482028577602,-0.373750606271615,-0.449419595284922,0.155216683043798,0.0795476940305006
14.87,-0.495818099161273,-0.371598322185751,0.000240789042942366,0.00590447575441798,-0.760301743818979,-0.636081966843462,-0.231334454503566,-0.10711467752804
14.93,-0.454737337341932,-0.0924136029936998,0.000756818292167455,0.493349561486286,-0.719220981999638,-0.356897247651411,-0.190253692684225,0.172070041664012
14.99,-1.32610039522639,-1.41375682439925,1.5768464116126e-22,2.41989301977306e-25,-1.59058403988409,-1.67824046905696,-1.06161675056868,-1.14927317974154
15.05,-0.0970460944678339,-0.228353706691299,0.471940202261351,0.0905821860083392,-0.361529739125541,-0.49283735134901,0.167437550189873,0.0361299379664125
15.18,0.349169660054943,-0.40233782061598,0.00968072145885077,0.00287766235899634,0.0846860153972364,-0.666821465273691,0.61365330471265,-0.137854175958269
15.26,-0.117882052352203,0.00516778664485833,0.382253538090058,0.969443664476277,-0.38236569700991,-0.259315858012853,0.146601592305504,0.26965143130257
